month,merchant_key,merchant_name,owner,merchant_scale,priority_level,current_gmv,previous_gmv,gmv_change_abs,gmv_loss,gmv_mom,gmv_rank_current,gmv_rank_change,previous_gmv_share,diagnostic_dimensions,data_quality_status,metric_quality_status,merchant_mapping_status,aftersales_rate,attention_reasons
2025-12,ID:6326,成都福美康,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:7119,鑫强劲,负责人 B,MID,NO_PRIORITY,22140.08,28966.83,-6826.75,6826.75,-0.2356747355509733,64.0,5.0,0.0025362582825928,,NO_ALERT,MISSING,NAME_MATCHED,0.0082304526748971,
2025-12,ID:720,丽康琴保健品,负责人 B,MID,WATCHLIST,72230.27,76806.85,-4576.580000000002,4576.580000000002,-0.0595855708182277,42.0,1.0,0.0067250026831505,Service,NO_ALERT,MISSING,NAME_MATCHED,0.0332640332640332,Service: 售后率3.3%，环比变化170.4%
2025-12,ID:7201,恒生医疗,负责人 B,KEY,WATCHLIST,334861.27,320343.81,14517.46000000002,0.0,0.0453183721577139,11.0,0.0,0.0280484485665104,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0124031007751938,Scale / Impact: GMV损失0.00，上月区域占比2.8%
2025-12,ID:7370,乐宜堂,负责人 B,KEY,WATCHLIST,199358.62,172579.49,26779.130000000005,0.0,0.1551698292769321,23.0,0.0,0.0151105992929896,Service,NO_ALERT,MISSING,NAME_MATCHED,0.0277777777777777,Service: 售后率2.8%，环比变化338.9%
2025-12,ID:8187,四川吉瑞兴,负责人 B,KEY,PRIORITY,308399.56,318855.31,-10455.75,10455.75,-0.0327915191376301,15.0,3.0,0.0279181194813589,Trend|Scale / Impact,NO_ALERT,MISSING,ID_MATCHED,0.0091623036649214,Trend: GMV环比-3.3%，连续下降3个月；Scale / Impact: GMV损失10455.75，上月区域占比2.8%
2025-12,ID:8188,康晟旗舰店,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:8235,福信美商贸,负责人 B,KEY,NO_PRIORITY,200400.26,158680.29,41719.97,0.0,0.2629184128665256,22.0,-3.0,0.0138936224570219,,NO_ALERT,MISSING,NAME_MATCHED,0.0169491525423728,
2025-12,ID:8521,聚美健,负责人 B,MID,NO_PRIORITY,176672.62,158054.72,18617.899999999998,0.0,0.1177940146298699,27.0,1.0,0.0138388492183264,,NO_ALERT,MISSING,NAME_MATCHED,0.0202086049543676,
2025-12,ID:8913,【2024/10/31关店】活玉旗舰店,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:8930,惠仁棠,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,ID:9348,平康购,负责人 B,LONG_TAIL,NO_PRIORITY,1725.06,2607.3,-882.2400000000002,882.2400000000002,-0.3383730295708205,77.0,-1.0,0.0002282882255394,,NO_ALERT,MISSING,ID_MATCHED,0.0,
2025-12,ID:960,【退店公示中】欣乐士(原亮剑),负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,81.0,0.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化0，同月分位10.1%
2025-12,NAME:内蒙古康依商贸,内蒙古康依商贸,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
2025-12,NAME:四川聚俊仁信医疗器械,四川聚俊仁信医疗器械,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
2025-12,NAME:成都八百供应链管理,成都八百供应链管理,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
2025-12,NAME:湛江市远潮食品,湛江市远潮食品,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
2025-12,NAME:燊楠贸易,燊楠贸易,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
2025-12,NAME:重庆和煜医疗器械,重庆和煜医疗器械,,UNAVAILABLE,DATA_QUALITY_ALERT,,,,,,,,,,DATA_QUALITY_ALERT,UNRESOLVED_MERCHANT,UNRESOLVED,,
