version_group,file_name,date_or_version,rows,columns,date_range,likely_latest,relationship
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,310,47,商业开店日期:2025-08-29..2026-06-29 | 商业首单日期:2025-09-17..2026-06-27 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-06-27 | 参考月份_dt:2025-10-17..2026-07-27 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-06-01 | 首单月份:2025-09-01..2026-06-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,1,26,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-03_sub_高运.xlsx,,1,10,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,20,8,月份:2024-12-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,233,17,月份:2024-12-01..2026-07-01 | 商业开店日期:2023-01-12..2026-07-17,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,39,58,商业开店日期:2023-01-12..2026-07-17 | 商业首单日期:2023-07-07..2026-07-21,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,30,30,月份:2026-07-01..2026-07-01 | 开店月份:2026-01-01..2026-07-01 | 首单月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,318,47,商业开店日期:2025-08-29..2026-07-17 | 商业首单日期:2025-09-17..2026-07-21 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-07-21 | 参考月份_dt:2025-10-17..2026-08-21 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-07-01 | 首单月份:2025-09-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,1,29,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-22_sub_高运.xlsx,,1,10,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,20,8,月份:2024-12-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,250,17,月份:2024-12-01..2026-07-01 | 商业开店日期:2023-01-12..2026-07-15,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,38,58,商业开店日期:2023-01-12..2026-07-15 | 商业首单日期:2023-03-08..2026-07-21,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,25,30,月份:2026-07-01..2026-07-01 | 开店月份:2026-01-01..2026-07-01 | 首单月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,279,47,商业开店日期:2025-08-29..2026-07-17 | 商业首单日期:2025-09-17..2026-07-21 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-07-21 | 参考月份_dt:2025-10-17..2026-08-21 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-07-01 | 首单月份:2025-09-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,1,29,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-27_sub_高运.xlsx,,1,10,月份:2026-04-01..2026-04-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,7,21,月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,20,8,月份:2024-12-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,243,17,月份:2024-12-01..2026-07-01 | 商业开店日期:2023-01-12..2026-07-07,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,34,58,商业开店日期:2023-01-12..2026-07-07 | 商业首单日期:2023-03-08..2026-07-08,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,21,30,月份:2026-07-01..2026-07-01 | 开店月份:2026-01-01..2026-07-01 | 首单月份:2026-01-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,289,47,商业开店日期:2025-08-29..2026-07-17 | 商业首单日期:2025-09-17..2026-07-08 | 月份:2025-01-01..2026-07-01 | 日期_dt:2025-09-17..2026-07-08 | 参考月份_dt:2025-10-17..2026-07-27 | 月份_dt:2025-01-01..2026-07-01 | 开店月份:2025-08-01..2026-07-01 | 首单月份:2025-09-01..2026-07-01,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,1,29,在药师帮注册日期:2024-08-27..2024-08-27 | 启用日期:2025-09-13..2025-09-13 | 药店首单日期:2025-11-13..2025-11-13 | 药采购权限审核通过日期:2025-09-13..2025-09-13 | 最近一次申请药采购权限时间:2025-09-13..2025-09-13,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
非药商务绩效+热销价+商家进度统计_DATE_sub_高运,非药商务绩效+热销价+商家进度统计_2026-07-28_sub_高运.xlsx,,0,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATE-DATE药品统计,20260201-20260302药品统计 (1)(1).xlsx,,2000,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATE-DATE药品统计,20260201-20260302药品统计 (1).xlsx,,2000,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
DATE-DATE药品统计,20260201-20260302药品统计.xlsx,,2000,9,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
5月药品top5000销售排名及均价表,5月药品top5000销售排名及均价表.xlsx,,51864,9,,UNCONFIRMED,single_observed_file
6月药品top5000销售排名及均价,6月药品top5000销售排名及均价(1).xlsx,,5000,8,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
6月药品top5000销售排名及均价,6月药品top5000销售排名及均价(1).xlsx,,0,0,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
6月药品top5000销售排名及均价,6月药品top5000销售排名及均价(1).xlsx,,0,0,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
拜访商业统计,拜访商业统计.xlsx,,35,6,,UNCONFIRMED,single_observed_file
拜访商业统计_美化版,拜访商业统计_美化版.xlsx,,80,6,,UNCONFIRMED,single_observed_file
新开端口商业参与明细情况,新开端口商业参与明细情况.xlsx,,273,14,首单月份:2025-09-01..2026-03-01,UNCONFIRMED,single_observed_file
日用动销DATE,日用动销2026-03-23.xlsx,,25884,4,,UNCONFIRMED,single_observed_file
销售额统计,销售额统计 (1).xlsx,,86,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (1).xlsx,,86,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (1).xlsx,,2666,11,日期:2026-05-01..2026-05-31,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,85,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,85,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,2635,11,日期:2026-05-01..2026-05-31,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (28).xlsx,,80,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (28).xlsx,,80,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (28).xlsx,,2400,11,日期:2026-04-01..2026-04-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,90,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,90,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (3).xlsx,,2700,11,日期:2026-06-01..2026-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (4).xlsx,,90,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (4).xlsx,,90,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (4).xlsx,,2700,11,日期:2026-06-01..2026-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (5).xlsx,,91,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (5).xlsx,,364,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (5).xlsx,,11102,11,日期:2026-03-01..2026-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (6).xlsx,,34,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (6).xlsx,,34,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (6).xlsx,,1020,11,日期:2026-06-01..2026-06-30,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计.xlsx,,86,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计.xlsx,,172,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计.xlsx,,4042,11,日期:2026-04-15..2026-05-31,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (1).xlsx,,86,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (1).xlsx,,86,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (1).xlsx,,2666,11,日期:2026-05-01..2026-05-31,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,85,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,85,11,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (2).xlsx,,2635,11,日期:2026-05-01..2026-05-31,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (20).xlsx,,78,9,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
销售额统计,销售额统计 (20).xlsx,,78,10,,UNCONFIRMED,same_structure_or_related_name;manual_confirmation_required
